iso3,chamber,year,MAL2,MRB,TRB,DM
USA,lower,2010,0.0,,0.037494183,1.0
USA,lower,2012,0.0,,0.18146515,1.0
USA,lower,2014,0.0,,0.17213202,1.0
USA,lower,2016,0.019810058,0.0016932487,0.13614178,1.0
USA,upper,2000,0.3749304,0.06655836,-0.084145546,1.0
USA,upper,2002,0.3313098,0.08444548,0.336195,1.0
USA,upper,2004,0.3498658,0.10494661,0.28188992,1.0
USA,upper,2006,0.36838907,0.083033085,-0.4441085,1.0
USA,upper,2008,0.33874807,0.035220623,-0.19533777,1.0
USA,upper,2010,0.34772104,0.108736515,0.50273323,1.0
USA,upper,2012,0.37289208,0.12952948,-0.5045929,1.0
USA,upper,2014,0.335676,0.06864357,0.3686366,1.0
USA,upper,2016,0.34027767,0.24840021,0.5949321,1.0
ZAF,lower,2014,0.006441579,-0.001270771,-0.10869789,22.222221
ZMB,lower,2011,0.18851584,0.12975979,0.037902355,1.0
ZMB,lower,2016,0.20439255,0.09691286,-0.3556652,1.0
