iso3,year,MAL2,ethn_scale,DM
TUR,2011,0.08283891528844833,0.19753086419753085,6.790123462677002
TUR,2015,0.08173157274723053,0.188235294117647,6.470588207244873
TUR,2015,0.08300235122442245,0.188235294117647,6.470588207244873
URY,2014,0.03214032202959061,0.0,5.210526466369629
USA,2010,0.0,0.18976545842217468,1.0
USA,2012,0.0,0.1976495726495724,1.0
USA,2014,0.0,0.19978632478632494,1.0
USA,2016,0.019810058176517487,0.19936034115138568,1.0
ZAF,2014,0.006441579200327396,0.7777777777777778,22.22222137451172
ZMB,2011,0.18851584196090698,0.0,1.0
ZMB,2016,0.20439255237579346,0.0,1.0
